ESTABLIMENTS HOTELERS NOVEMBRE 2020;;;;
;Ocupació;Viatgers;Pernoctacions;
Girona;10,2% (-22,2 pp);20.923 (-87,4%);37.631 (-88,5%);
Tarragona;14,2% (-16,1 pp);13.451 (-85,0%);25.514 (-84,6%);
Lleida;10,7% (-15,0 pp);8.781 (-80,4%);19.075 (-75,2%);
Barcelona;12,8% (-42,8 pp);100.066 (-88,9%);195.387 (-90,3%);
;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;
