EVOLUCIÓ OCUPACIÓ Rural_20;;
en %;Ocupació % per places;
;Rural_20;Rural_19
Gener;10,5;8,3
Febrer;12,3;13,4
Març;;15,6
Abril;0,0;19,8
Maig;;17,1
Juny;19,5;23,9
Juliol;35,1;31,0
Agost;53,4;50,0
Setembre;18,2;19,3
Octubre;7,3;15,5
Novembre;0,8;18,9
Desembre;;24,4
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
